Prediction Threshold,True Positives,Total Predictions,Total Objects,Recall,Precision
0.1,369,593,644,0.5729813665,0.6222596965
0.15,349,446,644,0.5419254658,0.7825112108
0.2,318,371,644,0.4937888199,0.8571428571
0.25,284,312,644,0.4409937888,0.9102564103
0.3,265,283,644,0.4114906832,0.9363957597
0.35,258,271,644,0.400621118,0.9520295203
0.4,248,258,644,0.3850931677,0.9612403101
0.45,240,246,644,0.3726708075,0.9756097561
0.5,229,233,644,0.3555900621,0.982832618
0.55,211,214,644,0.3276397516,0.9859813084
0.6,189,191,644,0.2934782609,0.9895287958
0.65,173,173,644,0.2686335404,1
0.7,144,144,644,0.2236024845,1
0.75,125,125,644,0.1940993789,1
0.8,106,106,644,0.1645962733,1
0.85,85,85,644,0.1319875776,1
0.9,47,47,644,0.0729813665,1
